idx,R_oos,var_05,var_01,breach_05,breach_01
537,-1.55926,-2.90012,-4.43516,0,0
538,-1.26693,-2.87042,-4.38652,0,0
539,0.30271,-2.79107,-4.26731,0,0
540,-3.31813,-2.54931,-3.94230,1,0
541,3.29745,-3.24714,-5.06001,0,0
542,-2.03228,-3.56908,-5.55038,0,0
543,-2.48746,-3.46975,-5.32036,0,0
544,-0.99215,-3.53832,-5.38559,0,0
545,3.15470,-3.28412,-4.97684,0,0
546,-1.22781,-3.57776,-5.40447,0,0
547,-2.80325,-3.37195,-5.08080,0,0
548,-1.41210,-3.59044,-5.39551,0,0
549,1.79824,-3.42574,-5.14183,0,0
550,0.88095,-3.34976,-5.02357,0,0
551,-2.51555,-3.10960,-4.70619,0,0
552,-2.53387,-3.36690,-5.04551,0,0
553,-3.41356,-3.48949,-5.23338,0,0
554,3.29894,-3.82724,-5.76420,0,0
555,-1.57035,-3.98808,-5.99060,0,0
556,1.28741,-3.77588,-5.64690,0,0
557,-3.27668,-3.53775,-5.30472,0,0
558,-4.58505,-3.88951,-5.79205,1,0
559,-1.20072,-4.52290,-6.78406,0,0
560,4.69516,-4.14786,-6.19278,0,0
561,3.76693,-4.71125,-7.01218,0,0
562,-1.16915,-4.81033,-7.12776,0,0
563,1.98441,-4.43082,-6.56624,0,0
564,-0.83499,-4.25954,-6.30302,0,0
565,7.22271,-3.92318,-5.87234,0,0
566,1.24888,-5.68361,-8.46176,0,0
567,0.62289,-5.08895,-7.54738,0,0
568,1.06014,-4.54965,-6.81419,0,0
569,3.57161,-4.13280,-6.28338,0,0
570,2.01994,-4.62332,-6.76804,0,0
571,1.02540,-4.43277,-6.50787,0,0
572,3.20426,-4.09474,-6.08540,0,0
573,-0.61282,-4.33764,-6.34918,0,0
